time x1 y1 x2 y2
1.459999999999999964e+00 2.970756574267930383e-01 -2.678545384428621112e-01 3.545350374366170176e-01 1.279969736786487622e-01
1.461000000000000076e+00 3.135069457692127859e-01 -2.484218085323023628e-01 4.005792572839773635e-01 1.419861992844889398e-01
1.461999999999999966e+00 3.267494128703432588e-01 -2.307267240457550050e-01 4.407781292499853287e-01 1.526757431356797756e-01
1.463000000000000078e+00 3.371478042364469685e-01 -2.152472023013132230e-01 4.755015216467823880e-01 1.600636673504209906e-01
1.463999999999999968e+00 3.451331889462956326e-01 -2.021956524947077227e-01 5.054607186471133939e-01 1.642672831755089824e-01
1.465000000000000080e+00 3.511250773611135911e-01 -1.916016180728962737e-01 5.314398865210312461e-01 1.654509965340024147e-01
1.465999999999999970e+00 3.554837634141420066e-01 -1.833883691756877377e-01 5.541286652042188843e-01 1.638006326558949510e-01
1.467000000000000082e+00 3.584981707312584476e-01 -1.774233963781031986e-01 5.740578139972738470e-01 1.595247304827360491e-01
1.467999999999999972e+00 3.603910176523862918e-01 -1.735462889130084951e-01 5.916003917645239474e-01 1.528617767389811588e-01
1.469000000000000083e+00 3.613299044220639189e-01 -1.715829250547447893e-01 6.070030038239599968e-01 1.440826071629271732e-01
1.469999999999999973e+00 3.614390004850031035e-01 -1.713529950960938075e-01 6.204244486017014282e-01 1.334855485032893085e-01
1.471000000000000085e+00 3.608093804331834464e-01 -1.726748128460613707e-01 6.319700858616017491e-01 1.213861873419312121e-01
1.471999999999999975e+00 3.595075534406947937e-01 -1.753690936826840518e-01 6.417174349936731748e-01 1.081050369780411913e-01
1.473000000000000087e+00 3.575822820898100218e-01 -1.792621307902022565e-01 6.497326527555848941e-01 9.395602548761616823e-02
1.473999999999999977e+00 3.550699358777176795e-01 -1.841883292605518974e-01 6.560795348248211756e-01 7.923760215415132091e-02
1.475000000000000089e+00 3.519986283126192439e-01 -1.899920147428163508e-01 6.608232671716747220e-01 6.422706879257433776e-02
1.475999999999999979e+00 3.483913474820701794e-01 -1.965285449995176625e-01 6.640309377761168808e-01 4.917788356718946763e-02
1.477000000000000091e+00 3.442682428167737063e-01 -2.036648643920962454e-01 6.657702802867516700e-01 3.431925252046771901e-02
1.477999999999999980e+00 3.396481841156722137e-01 -2.112796985678615236e-01 6.661075545302332923e-01 1.985722939590725544e-02
1.479000000000000092e+00 3.345496637523249772e-01 -2.192635913306317796e-01 6.651050091937091846e-01 5.976643974091561118e-03
